Start,arrivals,departures
"Abbey Orchard Street, Westminster",20628,16523
"Aberdeen Place, St. John's Wood",4394,6052
"Aberfeldy Street, Poplar",2020,2053
"Abingdon Green, Westminster",22636,18443
"Abingdon Villas, Kensington",7390,7582
"Abyssinia Close, Clapham Junction",5703,5483
"Ada Street, Hackney Central",15651,15480
"Addison Road, Holland Park",4465,4552
"Albany Street, The Regent's Park",9247,11406
"Albert Bridge Road, Battersea Park",13228,13630
"Albert Embankment, Vauxhall",9465,10345
"Albert Gate, Hyde Park",54602,53893
"Albert Square, Stockwell",9255,10435
"Alderney Street, Pimlico",13243,14441
"Aldersgate Street, Barbican",25519,24863
"Alfred Place, Bloomsbury",16821,16465
"Alfreda Street, Battersea Park",8666,8735
"All Saints Church, Portobello",17786,18245
"All Saints' Road, Portobello",5223,5509
"Allington Street, Victoria",34124,33849
"Ampton Street , Clerkenwell",8241,9578
"Ansell House, Stepney",13535,14825
"Aquatic Centre, Queen Elizabeth Olympic Park",40786,40522
"Archbishop's Park, Waterloo",7717,7260
"Argyll Road, Kensington",8278,8341
"Arlington Road, Camden Town",9619,9652
"Arundel Street, Temple",8691,8155
"Ashley Crescent, Battersea",7641,8015
"Ashley Place, Victoria",26943,25314
"Ashmole Estate, Oval",8542,9389
"Aston Street, Stepney",5718,6265
"Austin Road, Battersea Park",11214,11883
"BBC White City, White City",8312,7696
"Baker Street, Marylebone",12812,12808
"Baldwin Street, St. Luke's",13540,13396
"Bancroft Road, Bethnal Green",7085,8017
"Bank of England Museum, Bank",27074,25014
"Bankside Mix, Bankside",26624,23307
"Barbican Centre, Barbican",12201,11855
"Bath Street, St. Luke's",21486,21062
"Battersea Church Road, Battersea",9509,10248
"Battersea Park Road, Nine Elms",10330,11114
"Battersea Power Station, Battersea Park",22770,24122
"Bayley Street , Bloomsbury",20074,18208
"Baylis Road, Waterloo",29620,28403
"Beaumont Street, Marylebone",10870,11151
"Bedford Way, Bloomsbury",8841,9142
"Belford House, Haggerston",5306,7260
"Belgrave Road, Victoria",18319,18226
"Belgrave Square, Belgravia",6978,7138
"Belgrove Street , King's Cross",83472,84254
"Bell Lane, Liverpool Street",13221,12542
"Bell Street , Marylebone",10159,10877
"Belvedere Road 1, South Bank",20439,18032
"Belvedere Road 2, South Bank",13924,13058
"Bermondsey Street, Bermondsey",19780,20128
"Berry Street, Clerkenwell",22721,21377
"Beryl Road, Hammersmith",8123,8389
"Bethnal Green Garden, Bethnal Green",11540,12462
"Bethnal Green Road, Shoreditch",40531,40030
"Bevington Road West, North Kensington",11209,11439
"Binfield Road, Stockwell",17410,17289
"Birkenhead Street, King's Cross",17977,17420
"Bishop's Bridge Road East, Bayswater",5999,7115
"Bishop's Bridge Road West, Bayswater",15865,16468
"Black Lion Gate, Kensington Gardens",53005,52978
"Black Prince Road, Vauxhall",12687,13266
"Blackfriars Road, Southwark",14645,14029
"Blenheim Crescent, Ladbroke Grove",10469,10654
"Bolsover Street, Fitzrovia",15641,16303
"Bonny Street, Camden Town",14288,14682
"Borough High Street, The Borough",12540,12777
"Borough Road, Elephant & Castle",11563,11419
"Boston Place, Marylebone",18629,22603
"Bourne Street, Belgravia",9485,9388
"Bouverie Street, Temple",18945,16983
"Bow Church Station, Bow",10769,11077
"Bow Road Station, Bow",9834,10447
"Braham Street, Aldgate",19960,19405
"Bramham Gardens, Earl's Court",13953,15109
"Breams Buildings, Holborn",10870,10549
"Brick Lane Market, Shoreditch",15975,15832
"Bricklayers Arms, Borough",16010,16501
"Bridge Avenue, Hammersmith",11067,10884
"British Museum, Bloomsbury",19226,18853
"Broadcasting House, Marylebone",14813,14244
"Broadley Terrace, Marylebone",3272,4008
"Broadwick Street, Soho",14715,14130
"Brook Green South, Brook Green",7500,7716
"Broomhouse Lane, Parsons Green",4436,4772
"Brunswick Square, Bloomsbury",12572,13072
"Brushfield Street, Liverpool Street",51490,41916
"Bruton Street, Mayfair",10209,10031
"Buckingham Gate, Westminster",18574,16327
"Bunhill Row, Moorgate",22998,19885
"Burdett Road, Mile End",9225,9275
"Bury Place, Holborn",11768,11229
"Butler Place, Westminster",8922,8090
"Buxton Street 1, Shoreditch",5829,6712
