Station Name,Lat,Lng,Borough
"Stamford Street, South Bank",51.488472,-0.208691,Hammersmith and Fulham
"Empire Square, The Borough",51.500575,-0.090222,Southwark
"Sedding Street, Sloane Square",51.493141,-0.156862,Kensington and Chelsea
"Bricklayers Arms, Borough",51.466123,-0.216725,Wandsworth
"Humbolt Road, Fulham",51.473111,-0.137217,Wandsworth
"Jewry Street, Aldgate",51.517961,-0.105164,City of London
"Soho Square , Soho",51.515296,-0.132206,City of Westminster
"Lambeth Road, Vauxhall",51.498733,-0.103091,Southwark
"Finsbury Square , Moorgate",51.52531,-0.136773,Camden
"Wright's Lane, Kensington",51.500002,-0.192895,Kensington and Chelsea
"Clerkenwell Green, Clerkenwell",51.539108,-0.078712,Hackney
"Kennington Cross, Kennington",51.494351,-0.215754,Hammersmith and Fulham
"Vauxhall Bridge , Pimlico",51.515615,-0.189855,City of Westminster
"Porchester Place, Paddington",51.486849,-0.10308,Southwark
"Cotton Garden Estate, Kennington",51.514467,-0.087621,City of London
"Tanner Street, Bermondsey",51.489366,-0.14119,City of Westminster
"Stonecutter Street, Holborn",51.504594,-0.11658,Lambeth
"Devonshire Square, Liverpool Street",51.516406,-0.079625,City of London
"Gloucester Road (North), Kensington",51.494763,-0.134194,City of Westminster
"Old Quebec Street, Marylebone",51.514414,-0.158126,City of Westminster
"Park Road (Baker Street), The Regent's Park",51.51225,-0.06941,Tower Hamlets
"Little Argyll Street, West End",51.489712,-0.133358,City of Westminster
"Bayley Street , Bloomsbury",51.52876,-0.059043,Tower Hamlets
"Walnut Tree Walk, Vauxhall",51.50953,-0.075386,Tower Hamlets
"Westbourne Grove, Bayswater",51.533642,-0.071596,Hackney
"Woodstock Street, Mayfair",51.518684,-0.135783,City of Westminster
"St. John Street, Finsbury",51.501896,-0.159249,Kensington and Chelsea
"Eaton Square, Belgravia",51.495555,-0.151738,City of Westminster
"Collingham Gardens, Earl's Court",51.527099,-0.131807,Camden
"Gloucester Terrace, Bayswater",33.705898,-117.800375,Wandsworth
"Warwick Square, Pimlico",51.492774,-0.160196,Kensington and Chelsea
"Torrens Street, Angel",51.515934,-0.053085,Tower Hamlets
"Tavistock Place, Bloomsbury",51.498309,-0.131488,City of Westminster
"Harrington Square 1, Camden Town",51.515546,-0.09913,City of London
"Finsbury Leisure Centre, St. Luke's",51.515036,-0.112621,City of Westminster
"Old Street Station, St. Luke's",51.520908,-0.083341,City of London
"Vauxhall Cross, Vauxhall",51.527257,-0.05757,Tower Hamlets
"Grafton Street, Mayfair",51.519971,-0.135864,Camden
"Lisson Grove, St. John's Wood",51.501371,-0.205932,Kensington and Chelsea
"Longford Street, The Regent's Park",51.49581,-0.186086,Kensington and Chelsea
"Sadlers Sports Centre, Finsbury",51.509435,-0.002419,Tower Hamlets
"Queen Street 1, Bank",51.511579,-0.092912,City of London
"Holborn Circus, Holborn",51.528798,-0.096723,Islington
"Great Titchfield Street, Fitzrovia",51.504434,-0.056021,Tower Hamlets
"Ampton Street , Clerkenwell",51.527292,-0.118235,Islington
"Bolsover Street, Fitzrovia",51.516754,-0.105065,City of London
"Finsbury Library , Finsbury",51.52731,-0.136076,Camden
"Hatton Garden, Holborn",51.50665,-0.059851,Tower Hamlets
"Euston Road, Euston",51.508643,-0.210019,Kensington and Chelsea
"Belgrove Street , King's Cross",51.511099,-0.143404,City of Westminster
"Cartwright Gardens , Bloomsbury",51.483752,-0.114962,Lambeth
"Fanshaw Street, Hoxton",51.53538,-0.109438,Islington
"Bramham Gardens, Earl's Court",53.475009,-3.026259,City of Westminster
"Newgate Street , St. Paul's",51.481875,-0.180359,Kensington and Chelsea
"Commercial Street, Shoreditch",51.473856,-0.112653,Lambeth
"Guilford Street , Bloomsbury",51.522364,-0.124469,Camden
"New Inn Yard, Shoreditch",51.536378,-0.05439,Hackney
"Breams Buildings, Holborn",51.517902,-0.108428,Islington
"Farringdon Lane, Clerkenwell",51.499655,-0.22164,Hammersmith and Fulham
"Merchant Street, Bow",51.503706,-0.215883,Kensington and Chelsea
"Sutton Street, Shadwell",51.52879,-0.035825,Tower Hamlets
"Clinton Road, Mile End",51.495462,-0.115682,Lambeth
"Frith Street, Soho",51.521464,-0.052495,Tower Hamlets
"Manresa Road, Chelsea",51.487075,-0.171653,Kensington and Chelsea
"East India DLR, Blackwall",51.497897,-0.143094,City of Westminster
"Aberfeldy Street, Poplar",51.52493,-0.058655,Tower Hamlets
"Greenland Road, Camden Town",51.512467,-0.193128,City of Westminster
"Queen Street 2, Bank",51.518874,-0.17519,City of Westminster
"East Road, Hoxton",51.51783,-0.060256,Tower Hamlets
"Murray Grove , Hoxton",51.517907,-0.123727,Camden
"Fulham Park Road, Fulham",51.50345,-0.008257,Tower Hamlets
"St Martins Close, Camden Town",51.524124,-0.166405,City of Westminster
"Princedale Road , Holland Park",51.493341,-0.121535,Lambeth
"Lansdowne Road, Ladbroke Grove",51.50611,-0.11468,Lambeth
"Morie Street, Wandsworth",51.469224,-0.174228,Wandsworth
"Richmond Way, Shepherd's Bush",51.504044,-0.217438,Hammersmith and Fulham
"Braham Street, Aldgate",51.530777,-0.078726,Hackney
"Ashmole Estate, Oval",51.497561,-0.100823,Southwark
"All Saints Church, Portobello",51.475449,-0.174036,Wandsworth
"Philpot Street, Whitechapel",51.497325,-0.142748,City of Westminster
"Jubilee Crescent, Cubitt Town",51.52901,-0.131806,Camden
"Napier Avenue, Millwall",51.496406,-0.019199,Tower Hamlets
"Aston Street, Stepney",51.490801,-0.01466,Tower Hamlets
"Cantrell Road, Bow",51.462894,-0.214036,Wandsworth
"Red Lion Street, Holborn",51.518356,-0.116635,Islington
"Pott Street, Bethnal Green",53.807657,-1.574645,Tower Hamlets
"Bethnal Green Road, Shoreditch",51.504431,-0.113142,Lambeth
"Kennington Road Post Office, Oval",51.512701,-0.076633,City of London
"Cleveland Gardens, Bayswater",51.515396,-0.1824,City of Westminster
"Seville Street, Knightsbridge",51.516885,-0.158436,City of Westminster
"Riverlight North, Nine Elms",51.483626,-0.201561,Hammersmith and Fulham
"LMU Commercial Road, Whitechapel",51.501636,-0.17459,City of Westminster
"St. Chad's Street, King's Cross",51.490682,-0.166319,Kensington and Chelsea
"Brunswick Square, Bloomsbury",51.491009,-0.173436,Kensington and Chelsea
"Drury Lane, Covent Garden",51.501084,-0.093412,Southwark
"Tower Gardens , Tower",51.511226,-0.092996,City of London
"Panton Street, West End",51.530938,-0.085553,Hackney
"Osiers Road, Wandsworth",51.512994,-0.12023,City of Westminster
"Monier Road, Hackney Wick",51.494898,-0.13187,City of Westminster
"East Village, Queen Elizabeth Olympic Park",51.542852,-0.144301,Camden
"Stratford Station, Stratford",51.53664,-0.076611,Hackney
"Teversham Lane, Stockwell",51.521756,-0.068827,Tower Hamlets
"Kennington Lane Rail Bridge, Vauxhall",51.486261,-0.122282,Lambeth
"Wardour Street, Soho",51.47329,-0.124458,Lambeth
"Courland Grove, Wandsworth Road",51.525943,-0.17155,City of Westminster
"Hurlingham Park, Parsons Green",51.502142,-0.083596,Southwark
"Putney Rail Station, Putney",51.528278,-0.065368,Tower Hamlets
"Hereford Road, Bayswater",51.520758,-0.142305,City of Westminster
"Dorset Square, Marylebone",51.522843,-0.160953,City of Westminster
"West Smithfield Rotunda, Farringdon",51.497954,-0.135335,City of Westminster
"Aylward Street, Stepney",51.489773,-0.170252,Kensington and Chelsea
"Columbia Road, Shoreditch",51.526499,-0.107973,Islington
"Farringdon Street, Holborn",51.490675,-0.141275,City of Westminster
"Northington Street , Holborn",51.522181,-0.114642,Islington
"Shoreditch High Street, Shoreditch",51.492732,-0.114562,Lambeth
"Grosvenor Crescent, Belgravia",51.521865,-0.046632,Tower Hamlets
"York Hall, Bethnal Green",51.489445,-0.115093,Lambeth
"Stepney Green Station, Stepney",51.50769,-0.096397,Southwark
"Pritchard's Road, Bethnal Green",51.511294,-0.053684,Tower Hamlets
"Parsons Green Station, Parsons Green",51.529793,-0.185791,City of Westminster
"Watney Street, Shadwell",51.51781,-0.107968,Islington
"Durant Street, Bethnal Green",51.531332,-0.117013,Islington
"Whitehall Place, Strand",51.521264,-0.084566,Hackney
"Binfield Road, Stockwell",51.508706,-0.055141,Tower Hamlets
"Gower Place , Euston",51.534522,-0.075816,Hackney
"Eversholt Street , Camden Town",51.537213,-0.146889,Camden
"Derry Street, Kensington",51.501175,-0.19122,Kensington and Chelsea
"The Guildhall, Guildhall",51.534062,-0.06403,Hackney
"Wood Street, Guildhall",51.541683,-0.139124,Camden
"Wapping High Street, Wapping",51.497437,-0.209495,Hammersmith and Fulham
"Ilchester Place, Kensington",51.500692,-0.202778,Kensington and Chelsea
"Hampton Street, Walworth",51.474509,-0.183221,Hammersmith and Fulham
"Great Marlborough Street, Soho",51.513669,-0.117625,City of Westminster
"Trebovir Road, Earl's Court",51.511687,-0.113836,City of Westminster
"Sumner Place, South Kensington",51.476804,-0.119826,Lambeth
"Russell Square Station, Bloomsbury",51.523429,-0.124118,Camden
"Rampayne Street, Pimlico",51.536914,-0.150158,Camden
"Knightsbridge, Hyde Park",51.508949,-0.149369,City of Westminster
"New Cavendish Street, Marylebone",51.493624,-0.111723,Lambeth
"Abingdon Green, Westminster",51.497615,-0.125966,City of Westminster
"Southerton Road, Hammersmith",51.507567,-0.210006,Kensington and Chelsea
"South Lambeth Road, Vauxhall",51.527568,-0.123595,Camden
"Elysium Place, Fulham",51.538026,-0.070302,Hackney
"Howland Street, Fitzrovia",51.496673,-0.137363,City of Westminster
"High Holborn , Covent Garden",51.498815,-0.103012,Southwark
"Kensington Town Hall, Kensington",51.510935,-0.118109,City of Westminster
"Millbank Tower, Pimlico",51.528168,-0.075337,Tower Hamlets
"Swan Street, The Borough",51.505087,-0.113136,Lambeth
"Putney Pier, Wandsworth",51.523756,-0.034384,Tower Hamlets
"Wells Street, Fitzrovia",51.499724,-0.154354,City of Westminster
"Queen Mother Sports Centre, Victoria",51.506504,-0.123274,City of Westminster
"Gloucester Road Station, South Kensington",51.517937,-0.172689,City of Westminster
"Edgware Road Station, Marylebone",51.472787,-0.21509,Hammersmith and Fulham
"Cleaver Street, Kennington",51.4977,-0.137599,City of Westminster
"Kennington Station, Kennington",51.51412,-0.073575,City of London
"Vauxhall Walk, Vauxhall",51.491207,-0.119204,Lambeth
"Horseferry Road, Westminster",51.521493,-0.089628,Islington
"Holland Park, Kensington",51.532186,-0.083086,Hackney
"Pall Mall East, West End",51.496511,-0.176002,Kensington and Chelsea
"Clifton Road, Maida Vale",51.490791,-0.205687,Hammersmith and Fulham
"Houghton Street, Strand",51.513538,-0.116719,City of Westminster
"Bourne Street, Belgravia",51.479505,-0.110283,Lambeth
"Belvedere Road 1, South Bank",51.506103,-0.114675,Lambeth
"Farm Street, Mayfair",51.4976,-0.211456,Hammersmith and Fulham
"Marloes Road, Kensington",51.48642,-0.224123,Hammersmith and Fulham
"Broadwick Street, Soho",51.513391,-0.136533,City of Westminster
"LSBU (Borough Road), Elephant & Castle",51.500941,-0.104552,Southwark
"Sheepcote Lane, Battersea",51.4776,-0.149552,Wandsworth
"Brook Green South, Brook Green",51.528011,-0.057173,Tower Hamlets
"Charlbert Street, St. John's Wood",51.493987,-0.214755,Hammersmith and Fulham
"World's End Place, West Chelsea",51.493422,-0.008131,Tower Hamlets
"Thorndike Close, West Chelsea",51.515886,-0.091931,City of London
"Olympia Way, Olympia",51.528973,-0.171402,City of Westminster
"Crinan Street, King's Cross",51.506601,-0.151795,City of Westminster
"Wren Street, Holborn",51.525628,-0.087609,Islington
"Triangle Car Park, Hyde Park",51.529754,-0.111727,Islington
"Ashley Place, Victoria",51.526155,-0.123673,Camden
"Shoreditch Park, Hoxton",51.51622,-0.169683,City of Westminster
"Brick Lane Market, Shoreditch",51.477395,-0.189123,Hammersmith and Fulham
"Vincent Square, Westminster",51.509668,-0.13146,City of Westminster
"Tyers Gate, Bermondsey",51.546825,-0.014547,Newham
"Queen's Gate (South), South Kensington",51.487794,-0.122948,Lambeth
"Brushfield Street, Liverpool Street",51.492947,-0.099491,Southwark
"Exhibition Road, Knightsbridge",51.498133,-0.082765,Southwark
"Regent's Row , Haggerston ",51.51106,-0.05557,Tower Hamlets
"Victoria Park Road, Hackney Central",51.487653,-0.106737,Lambeth
"Storey's Gate, Westminster",51.52044,-0.150392,City of Westminster
"Northumberland Avenue, Strand",51.47291,-0.132107,Lambeth
"Bunhill Row, Moorgate",51.521804,-0.16998,City of Westminster
"Palace Gardens Terrace, Notting Hill",51.484862,-0.168245,Kensington and Chelsea
"Black Prince Road, Vauxhall",51.533033,-0.166093,City of Westminster
"Grove End Road, St. John's Wood",51.467806,-0.209913,Hammersmith and Fulham
"Portland Place, Marylebone",51.505675,-0.016097,Tower Hamlets
"Strand, Strand",52.008907,11.700334,City of London
"Frampton Street, Paddington",51.49367,-0.164922,Kensington and Chelsea
"Jubilee Gardens, South Bank",51.526856,-0.126949,Camden
"St. Mary Axe, Aldgate",51.512262,-0.157122,City of Westminster
"Risinghill Street, Angel",51.469118,-0.202271,Hammersmith and Fulham
"Bank of England Museum, Bank",51.517149,-0.157111,City of Westminster
"Maida Vale, Maida Vale",51.474485,-0.197542,Hammersmith and Fulham
"Hampstead Road (Cartmel), Euston",51.530859,-0.089372,Hackney
"River Street , Clerkenwell",51.498164,-0.109404,Southwark
"Tavistock Street, Covent Garden",51.511941,-0.120737,City of Westminster
"Christopher Street, Liverpool Street",51.534453,-0.125518,Camden
"Hyde Park Corner, Hyde Park",53.814711,-1.561482,City of Westminster
"Broadcasting House, Marylebone",51.501273,-0.093217,Southwark
"Pembridge Villas, Notting Hill",51.518424,-0.072772,Tower Hamlets
"Liverpool Road (N1 Centre), Angel",51.463857,-0.114767,Lambeth
"New Road 1 , Whitechapel",51.515991,-0.111461,City of London
"Rodney Road , Walworth",51.49598,-0.126999,City of Westminster
"Beaumont Street, Marylebone",51.527512,-0.110597,Islington
"Park Street, Bankside",51.525419,-0.175263,City of Westminster
"Scala Street, Fitzrovia",51.484437,-0.216785,Hammersmith and Fulham
"St. James's Square, St. James's",51.514094,-0.180396,City of Westminster
"Alfred Place, Bloomsbury",51.520522,-0.133342,Camden
"Millennium Hotel, Mayfair",51.530302,-0.042793,Tower Hamlets
"Charlotte Street, Fitzrovia",51.530312,-0.107149,Islington
"Great Russell Street, Bloomsbury",51.518871,-0.124573,Camden
"Windsor Terrace, Hoxton",51.506313,-0.022997,Tower Hamlets
"Hatton Wall, Holborn",51.521578,-0.108909,Islington
"Hardwick Street, Clerkenwell",51.480573,-0.211018,Hammersmith and Fulham
"Nutford Place, Marylebone",51.500842,-0.17915,City of Westminster
"Union Street, The Borough",51.471367,-0.207189,Hammersmith and Fulham
"Charles II Street, West End",51.485573,-0.181166,Kensington and Chelsea
"Berry Street, Clerkenwell",51.514913,-0.066188,Tower Hamlets
"Lower Thames Street, Monument",51.483136,-0.172749,Kensington and Chelsea
"Theobald's Road , Holborn",51.519503,-0.120245,Islington
"Arundel Street, Temple",51.497437,-0.209495,Hammersmith and Fulham
"Cloudesley Road, Angel",51.536723,-0.070528,Hackney
"Crosswall, Tower",51.511579,-0.076996,City of London
"Tooley Street, Bermondsey",51.501139,-0.075448,Southwark
"Golden Lane, Barbican",51.539787,-0.124821,Camden
"Abbey Orchard Street, Westminster",51.50009,-0.113917,Lambeth
"Boston Place, Marylebone",51.51209,-0.197715,Kensington and Chelsea
"Roscoe Street, St. Luke's",51.532311,-0.03296,Tower Hamlets
"Calshot Street , King's Cross",51.535711,-0.060298,Hackney
"Aldersgate Street, Barbican",51.512397,-0.099114,City of London
"Taviton Street, Bloomsbury",51.5255,-0.13154,Camden
"Vicarage Gate, Kensington",51.473186,-0.207756,Hammersmith and Fulham
"Malet Street, Bloomsbury",51.490751,-0.106222,Lambeth
"Wellington Road, St. John's Wood",51.492723,-0.196436,Kensington and Chelsea
"Norton Folgate, Liverpool Street",51.466579,-0.151942,Wandsworth
"Borough High Street, The Borough",51.528294,-0.144436,Camden
"Webber Street , Southwark",51.507429,-0.099342,Southwark
"Chancery Lane, Holborn",51.518107,-0.11236,City of London
"Winsland Street, Paddington",51.470894,-0.171129,Wandsworth
"Hampstead Road, Euston",51.488452,-0.10925,Lambeth
"Albert Embankment, Vauxhall",51.487292,-0.124377,Lambeth
"Gloucester Road (Central), South Kensington",51.5315,-0.098435,Islington
"Black Lion Gate, Kensington Gardens",51.510131,-0.18782,City of Westminster
"Godliman Street, St. Paul's",51.520686,-0.153011,City of Westminster
"George Street, Marylebone",51.516123,-0.125101,Islington
"Bouverie Street, Temple",51.463372,-0.181913,Wandsworth
"Pancras Road, King's Cross",51.528387,-0.101044,Islington
"Finsbury Circus, Liverpool Street",51.496207,-0.140753,City of Westminster
"Paddington Street, Marylebone",51.539835,-0.07478,Hackney
"Nesham Street, Wapping",51.530011,-0.169255,City of Westminster
"Penywern Road, Earl's Court",51.521151,-0.208868,Kensington and Chelsea
"Leonard Circus , Shoreditch",51.486671,-0.165771,Kensington and Chelsea
"Simpson Street, Clapham Junction",51.466147,-0.111964,Lambeth
"St. John's Wood Road, St. John's Wood",51.486122,-0.122059,Lambeth
"London Zoo,  The Regent's Park",51.464929,-0.216013,Wandsworth
"Red Lion Square, Holborn",51.474937,-0.169143,Wandsworth
"British Museum, Bloomsbury",51.515715,-0.11909,Islington
"Belgrave Square, Belgravia",51.515558,-0.154537,City of Westminster
"Doric Way , Somers Town",51.490955,-0.190698,Kensington and Chelsea
"Phillimore Gardens, Kensington",51.475084,-0.201549,Hammersmith and Fulham
"New Globe Walk, Bankside",51.484257,-0.19688,Hammersmith and Fulham
"Leman Street, Aldgate",51.519176,-0.118882,Islington
"Notting Hill Gate Station, Notting Hill",51.504103,-0.0769,Southwark
"Moorfields, Moorgate",51.518536,-0.088505,City of London
"Wormwood Street, Liverpool Street",51.523937,-0.066731,Tower Hamlets
"Tachbrook Street, Victoria",51.533495,-0.062313,Tower Hamlets
"Holy Trinity Brompton, Knightsbridge",51.460318,-0.114636,Lambeth
"Shadwell Station, Shadwell",51.531208,-0.075858,Hackney
"Hermitage Court, Wapping",51.4751,-0.150908,Wandsworth
